season,date,game_id,home_elo,away_elo,elo_diff,home_off_rating_5,away_off_rating_5,home_def_rating_5,away_def_rating_5,home_rest,away_rest,home_b2b,away_b2b,home_travel_km,away_travel_km,injured_starters_home,injured_starters_away,vegas_spread,home_win
2016,2023-05-30 13:27:13,1,1530.4717079754432,1555.3076787025245,-24.835970727081303,110.71023953379468,116.68056562464854,112.88138517864093,116.49546753311276,3,1,0,0,50.75959292949689,2765.582226229355,0,0,-1.501700717753716,0
2019,2017-08-29 18:22:13,2,1396.0015893759505,1524.891359867503,-128.88977049155255,110.50257054604192,101.13900930072205,116.49561741999557,112.28712887389842,2,0,0,1,47.23127508189873,1314.3420622810474,1,2,2.15799788998798,0
2019,2021-05-11 21:31:39,3,1575.0451195806456,1600.866835595484,-25.82171601483833,108.51670043747276,109.22603661604171,104.63864692083158,117.45253880411215,1,2,0,0,35.73428340027329,3561.608253952159,0,0,-0.9165153398258248,1
2016,2023-11-26 11:36:56,4,1594.0564716391214,1548.4453439248423,45.611127714279064,114.14241464327917,111.72692559574969,110.57350918806225,114.90163722972508,1,2,0,0,463.5721230439561,3168.3472137683657,2,0,2.0303048936536268,1
2022,2017-08-31 16:11:05,5,1304.8964811346164,1621.7725187451135,-316.8760376104972,113.1732309385238,113.15244821714927,116.1457664768956,111.7022934683489,3,2,0,0,76.21621311374676,2295.9199852624474,1,1,-9.365800388488413,0
2018,2017-07-02 22:51:11,6,1369.7820493137683,1591.9423676646986,-222.1603183509303,104.0467515086529,108.36765197735565,112.32800074171297,108.86037223496591,3,1,0,0,241.16309924431428,1945.0024970706609,0,0,-4.755778429107226,1
2018,2016-01-22 12:50:36,7,1512.7840403167286,1652.170045273696,-139.38600495696733,103.7423700238032,102.81019258472513,119.33666906038741,109.56868142319298,2,2,0,0,216.53618239720362,2554.2616624215343,1,0,-4.371984539151359,0
2022,2021-11-12 13:17:51,8,1468.3757407656417,1535.8796083906254,-67.50386762498374,114.12342226602877,107.99453353832281,104.12038320906541,104.64744763031439,0,2,1,0,162.38555481332722,2980.320032498772,0,0,-2.3301453114720303,1
2015,2017-05-26 22:18:50,9,1498.319884249571,1590.5259401493954,-92.20605589982438,107.92356785602733,108.25621006190168,103.54999116026933,110.66460554950837,0,0,1,1,268.86532617571817,712.8111221047355,1,1,-2.483939099187577,0
2014,2014-12-12 22:44:12,10,1414.695607242642,1469.2872926914215,-54.59168544877957,113.51020577550162,108.1345325242246,115.84843258311359,112.72999379282076,1,0,0,1,1.3954452367943015,3440.037177731365,2,0,2.1636196069372966,1
2017,2019-08-25 13:10:11,11,1587.939797486283,1439.8539188440993,148.08587864218362,115.90465789054595,116.85029295103801,116.32903607466388,120.57710548899617,2,1,0,0,190.0746691597987,2059.7305778994314,1,0,3.729168326693233,1
2014,2020-03-12 00:55:45,12,1577.7791935428947,1670.6767640418973,-92.89757049900254,105.6452358129722,105.93198610930429,111.03374996584083,114.64160161639438,3,0,0,1,239.67203023482702,3754.307161276296,1,0,-4.95815439387456,1
2018,2014-12-02 04:52:30,13,1506.6030697561216,1521.6204676322689,-15.017397876147243,104.94231372711907,113.5048963721908,114.00197200022862,107.67573009931012,3,2,0,0,401.65219310265024,3831.061105233638,0,2,-5.445417758498612,1
2015,2021-12-23 00:13:02,14,1612.7241206968033,1580.488056586238,32.236064110565394,120.37215841197647,112.79148518608957,115.72603488815703,104.80315862240597,1,0,0,1,350.48171465082265,316.72391986872356,1,2,-1.0314813828830043,1
2021,2020-03-12 04:04:08,15,1546.7509342252047,1512.374001441139,34.37693278406573,113.7578539148123,116.80227538735835,107.93068397074127,110.96723956397713,0,0,1,1,424.88090200897864,1661.0277079218083,2,2,2.221125898059824,0
2014,2019-05-04 07:24:41,16,1414.0707537116762,1441.3484349080036,-27.27768119632742,109.90379671663365,111.33434064131535,108.4657581247535,116.05882223413874,1,0,0,1,188.1491176325606,2199.6489703358084,2,0,4.943108804339929,1
